City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Huainan,CN,56.39,light rain,32.6264,116.9969,GME Huainan Tianjiaan District Chaoyang East Road Hotel
6,Hermanus,ZA,59.9,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Busselton,AU,54.09,few clouds,-33.65,115.3333,Observatory Guest House
9,Bethel,US,57.67,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
16,Salym,RU,45.16,overcast clouds,60.0625,71.4789,Gostinitsa Salym
19,Lebu,CL,55.13,broken clouds,-37.6167,-73.65,Hostal Las Lilas
26,Bluff,NZ,52.7,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Fernie,CA,47.61,overcast clouds,49.5,-115.0687,Fernie Stanford Resort
35,Fortuna,US,55.98,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
36,Bellevue,US,53.19,overcast clouds,47.6104,-122.2007,The Westin Bellevue
37,Tongliao,CN,41.41,clear sky,43.6125,122.2653,Meirujia Hotel
43,Jamestown,US,50.09,light rain,42.097,-79.2353,Hampton Inn & Suites Jamestown
45,Hobart,AU,52.02,light intensity shower rain,-42.8794,147.3294,Mantra on Collins Hobart
47,Punta Arenas,CL,42.91,light intensity shower rain,-53.15,-70.9167,Hotel Dreams Del Estrecho
53,Korla,CN,55.09,overcast clouds,41.7597,86.1469,Gulisitan Hotel
57,Kaitangata,NZ,49.91,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
64,Mataura,NZ,49.78,overcast clouds,-46.1927,168.8643,Ellie's Villa
67,Sitka,US,48.09,light rain,57.0531,-135.33,Westmark Sitka
76,Gernsbach,DE,52.36,clear sky,48.7667,8.3333,Badischer Landgasthof Lautenfelsen
79,Fenyi,CN,52.07,light rain,27.8112,114.6681,Jinhao Hotel
81,Esperance,AU,53.15,clear sky,-33.8667,121.9,Hospitality Esperance
83,New Norfolk,AU,51.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
86,Forbes,AU,47.84,clear sky,-33.3833,148.0167,Lake Forbes Motel
99,Dalvik,IS,42.33,overcast clouds,65.9702,-18.5286,Dalvík HI Hostel
101,Magnitka,RU,43.79,few clouds,55.3475,59.6961,Taganay Siti Turizm I Aktivnyy Otdykh
104,Eureka,US,56.25,light rain,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
107,Rakaia,NZ,53.76,overcast clouds,-43.75,172.0167,St Itas Guesthouse
112,Valdemarpils,LV,44.02,overcast clouds,57.3707,22.5919,Guest House Laumas
118,Lewistown,US,56.89,overcast clouds,40.5992,-77.5714,Quality Inn & Suites
120,Palmer,US,58.91,few clouds,42.1584,-72.3287,Wedgewood Motel
123,Seoul,KR,45.84,clear sky,37.5683,126.9778,Lotte Hotel Seoul
127,Codrington,AU,49.44,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
129,Broome,US,50.7,light rain,42.2506,-75.833,Chenango Valley State Park
131,Saint Anthony,US,48.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
132,Petropavl,KZ,48.72,broken clouds,54.8753,69.1628,Отель GREENWICH
141,Vostochnyy,RU,44.53,few clouds,55.8167,37.8667,MarianHall
152,Komsomolskiy,UZ,45.82,clear sky,40.4272,71.7189,Ikathouse
153,Stromness,GB,53.85,light rain,58.965,-3.296,The Old Smokery
156,Halden,NO,50.34,broken clouds,59.1226,11.3871,Clarion Collection Hotel Park
158,Sorland,NO,42.04,broken clouds,67.667,12.6934,Sjybrygga fiskecamp
160,Khani,GE,40.57,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
163,Zenzeli,RU,56.77,clear sky,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
168,Geraldton,AU,57.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
169,Constitucion,CL,59.38,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
177,Aromashevo,RU,46.76,few clouds,56.8602,68.6375,Gostinichnyy Kompleks Milan
178,Plettenberg Bay,ZA,57.49,light rain,-34.0527,23.3716,Thanda Vista B&B
180,Manbij,SY,57.97,clear sky,36.5281,37.9549,Manbej City Hotel
181,Havre-Saint-Pierre,CA,46.67,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
183,Genc,TR,55.98,clear sky,38.7507,40.5603,Genc Ogretmenevi
202,Grindavik,IS,46.87,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
215,Killybegs,IE,53.31,moderate rain,54.6333,-8.45,Tara Hotel
221,Novoomskiy,RU,46.42,clear sky,54.8415,73.3017,Dymskaya Cottage
222,Xinxiang,CN,54.27,light rain,35.3089,113.8672,Guoyu Holiday Inn
229,Bonavista,CA,53.22,light rain,48.6499,-53.1147,Abbott's Bed & Breakfast
231,Muskegon,US,50.94,overcast clouds,43.3,-86.1334,Timberline Estates
232,Taybad,IR,52.12,clear sky,34.74,60.7756,لی پوش jean center
235,Kruisfontein,ZA,59.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
237,Dunedin,NZ,53.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
238,Takaka,NZ,55.98,overcast clouds,-40.85,172.8,Golden Bay Motels
243,Saldanha,ZA,59.36,few clouds,-33.0117,17.9442,Blue Bay Lodge
246,Portland,US,53.29,moderate rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
247,Wairoa,NZ,55.6,overcast clouds,-39.0333,177.3667,Riverside Motor Camp
251,Vestmanna,FO,49.12,mist,62.1564,-7.1664,Budget Guesthouse Borgustova
264,Tosya,TR,55.96,clear sky,41.0155,34.0401,Hakan Hotel
269,Kodiak,US,42.31,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
270,Lalibela,ET,59.49,broken clouds,12.0333,39.0333,Honey Land Hotel Lalibela
273,Bredasdorp,ZA,57.27,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
276,Bijie,CN,47.34,overcast clouds,27.3125,105.2942,Four Points by Sheraton Bijie
285,Gornyy,RU,41.79,light rain,55.1153,83.9059,Gostinyy Dvor
286,North Platte,US,44.49,overcast clouds,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
287,Dejen,ET,54.61,broken clouds,10.1667,38.1333,MAFLAB International Hotel
289,Westport,US,59.05,overcast clouds,41.1415,-73.3579,The Westport Inn
291,Warrington,GB,54.86,overcast clouds,53.3925,-2.5802,Patten Arms Hotel
295,Port Lincoln,AU,53.65,clear sky,-34.7333,135.8667,Port Lincoln Hotel
299,Tateyama,JP,57.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
312,Makat,KZ,52.68,clear sky,47.6469,53.3463,Umit
318,Ningxiang,CN,43.18,broken clouds,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
329,Hasaki,JP,41.4,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
331,Shelburne,CA,45.9,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
335,Pasareni,RO,50.02,overcast clouds,46.4833,24.7,Casa Bogdan
337,Nemuro,JP,44.04,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
340,Skala,PL,41.4,broken clouds,50.2305,19.8536,Hotel pod Kazimierzem
342,Asau,RO,47.95,light rain,46.4333,26.4,Casa Mika Ciobanus
353,Prince George,CA,40.62,overcast clouds,53.9166,-122.753,Canadas Best Value Inn Prince George
356,Rorvik,NO,45.61,light rain,64.8621,11.2373,Kysthotellet Rørvik AS
365,Te Anau,NZ,49.96,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
370,Margate,GB,55.11,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
371,Brae,GB,51.71,overcast clouds,60.3964,-1.353,Busta House Hotel
379,Tsalenjikha,GE,46.62,clear sky,42.6044,42.0682,Toba Guest House
388,Potsdam,DE,50.11,scattered clouds,52.3989,13.0657,NH Voltaire Potsdam
393,Brainerd,US,47.23,broken clouds,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
402,Waitati,NZ,53.8,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
412,Van,TR,43.95,clear sky,38.4924,43.3831,Elite World Van Hotel
415,Shaunavon,CA,40.78,overcast clouds,49.6501,-108.4181,Bear's Den Lodge
419,Shu,KZ,47.23,few clouds,43.5983,73.7614,Shyngyzkhan
423,Kargasok,RU,44.1,light rain,59.0556,80.8572,Hotel Kargasok
432,Alekseyevka,RU,48.65,broken clouds,50.6309,38.6903,Apartment on Ploshchad Pobedy
434,Katsuura,JP,57.31,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
436,Fengzhen,CN,41.2,clear sky,40.4394,113.1536,Feng Zhen Hotel
440,Saldus,LV,40.98,overcast clouds,56.6636,22.4881,Mans Nams
443,Ravar,IR,59.95,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
454,Kargalinskaya,RU,54.54,clear sky,43.7417,46.4792,Комната для намаза
460,Waipawa,NZ,54.23,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
468,Burnie,AU,50.94,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
469,Inzhavino,RU,46.94,light rain,52.3185,42.4937,Otel' Raduga Inzhavino
471,Blind River,CA,50.25,few clouds,46.1834,-82.9582,Auberge Eldo Inn
472,Nandi Hills,KE,57.6,overcast clouds,0.1066,35.1838,Karoit Lake Victoria View Resort
475,Vrangel,RU,46.74,clear sky,42.7297,133.0839,"Отель ""БАЛИ"""
489,Broken Hill,AU,51.85,clear sky,-31.95,141.4333,Royal Exchange Hotel
490,Astana,KZ,49.95,broken clouds,51.1801,71.446,King Hotel Astana
492,Ayan,RU,40.15,overcast clouds,56.45,138.1667,Gostinitsa
494,Yellowknife,CA,42.42,overcast clouds,62.456,-114.3525,The Explorer Hotel
496,Lac Du Bonnet,CA,40.21,few clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
497,Aleksandrov Gay,RU,56.5,overcast clouds,50.147,48.5704,Gostinitsa I.p. Yes'kov A.v
500,Sept-Iles,CA,49.05,light intensity drizzle,50.2001,-66.3821,Comfort Inn
504,Erenhot,CN,44.15,few clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
507,Eskisehir,TR,57.07,clear sky,39.7767,30.5206,Hotel ibis Eskisehir
510,Obanazawa,JP,47.23,overcast clouds,38.6033,140.4019,ビジネスホテル すがはら
517,West Wendover,US,45.61,light rain,40.7391,-114.0733,"Motel 6 Wendover, UT"
537,Lerik,AZ,44.24,overcast clouds,38.7726,48.4128,9 QARDAŞ
538,Changli,CN,47.39,clear sky,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
541,Sfantu Gheorghe,RO,49.93,broken clouds,45.8667,25.7833,Hotel Park
544,Wasilla,US,41.36,broken clouds,61.5814,-149.4394,Alaska's Select Inn Wasilla
550,Skibbereen,IE,55.2,overcast clouds,51.55,-9.2667,The West Cork Hotel
555,Zhanakorgan,KZ,49.89,few clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
557,Smithers,CA,41.22,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
558,Roma,US,53.38,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
563,Krasnoarmeysk,RU,50.29,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
576,Ginda,IN,49.71,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
577,Manaia,NZ,52.81,overcast clouds,-39.55,174.1333,Freedom Campground
585,Otane,NZ,55.0,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
589,Verkhnyaya Balkariya,RU,43.72,clear sky,43.1279,43.4573,Верхняя Балкария
590,Hami,CN,50.34,overcast clouds,42.8,93.45,Laoyutang Resort
596,Letterkenny,IE,54.19,moderate rain,54.95,-7.7333,Mount Errigal Hotel
597,Rocha,UY,59.23,moderate rain,-34.4833,-54.3333,Beleza Pura B&B
603,Morris,US,57.61,broken clouds,40.8334,-74.5329,Parsippany Inn and Suites Morris Plains
605,Tacuarembo,UY,59.58,overcast clouds,-31.7333,-55.9833,Complejo San Fructuoso
608,Kamaishi,JP,45.14,clear sky,39.2667,141.8833,Hotel Route Inn Kamaishi
616,Hokitika,NZ,55.11,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
618,Vikulovo,RU,47.28,broken clouds,56.8167,70.6107,"Ooo ""Sistema Stroy"""
628,Eregli,TR,55.83,clear sky,37.5133,34.0467,Hotel Fuat Bey
634,Vila,PT,54.34,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
635,Slonim,BY,42.49,overcast clouds,53.0867,25.3219,Hostel on Brestskaya 107
642,Yarim,YE,57.52,broken clouds,14.298,44.3779,وليد المسوري ابو اسد
645,Yatou,CN,50.22,few clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
650,Sunndalsora,NO,43.45,overcast clouds,62.6754,8.5515,Trædal Hotel
661,Salihorsk,BY,42.84,broken clouds,52.7876,27.5415,Apartment on Parkovoy 26
662,Xiaoweizhai,CN,51.55,light rain,26.1903,107.5125,Karst Youth Hostel
663,Susaki,JP,52.18,clear sky,33.3667,133.2833,Awa
670,Arcachon,FR,59.32,clear sky,44.5875,-1.0519,Hôtel All Suites Le Teich
671,Starogard Gdanski,PL,42.89,light rain,53.964,18.5264,Hotel Ren
673,Tuatapere,NZ,50.97,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
